MAT;RAZONSOCIAL;DIRECCION;EST;PROPIETARIO;TELEFONO1
109022;PRODUCTOS AGROPECUARIOS DEL LITORAL                              ;CL  7  4 33                                                                                                                        ;MC;PRODUCTORES AGROPECUARIOS DEL LITORAL S.A.S               ;5736081
109024;PROVISIONES LILI                                                 ;CL 9   4  169 CENTRO                                                                                                               ;MA;LEMUS BUSTOS MARTHA LILIANA                               ;3118526507
109026;RESTAURANTE EL SAZON DE GLADYS                                   ;CR 7  5  35 CRR LA LOMA                                                                                                            ;MI;BENITEZ PEREZ GLEDYS HELENA                               ;             
109028;PROVISIONES NATY DEL VALLE                                       ;CL 7E  38  85 BRR LA NEVADA                                                                                                        ;MC;VANEGAS JACOME DIONEL                                     ;3117569372
109030;DISTRIBUIDORA AVICAMPO                                           ;CL 19C  36  63 CD 450                                                                                                              ;MI;RINCON PEREZ SANDRA JIMENA                                ;             
109032;VARIEDADES JEAN V.C.                                             ;CR 14  8A 60                                                                                                                       ;MA;VANEGAS CONTRERAS VERONICA                                ;3124628028
109034;MAKRO NUMERO 2                                                   ;CR 20  13B  BIS 33                                                                                                                 ;MI;MIELES LOBO AMAURI                                        ;             
109037;VENTA DE BEBIDAS HELADAS YANNETH                                 ;CL 34  24  29 BRR LAS MANUELITAS                                                                                                   ;MA;CUADRADO CAMPO YANNETH                                    ;5896917
109040;TIENDA LOS NI—OS FELICES                                         ;CL 11A  31  75                                                                                                                     ;MI;URANGO FLOREZ MIRIAN ROSA                                 ;             
109043;EL PALACIO DE LAS LLANTAS Y EL REPUESTO                          ;CL 11 N?? 20 - 30 BRR VILLA LA FERIA                                                                                               ;MA;PE—ARANDA FIGUEROA NEYLA SILENE                           ;3163376358
109045;IMPERIO BARON                                                    ;DG 1  7 56 P 01                                                                                                                    ;MI;GARCIA CHONA SHAROLL DAFANNIS                             ;             
109047;ESTADERO LA GRAN PARADA                                          ;CL CENTRAL CRR LA LOMA                                                                                                             ;MI;PALMERA PEREZ FARIDIS                                     ;             
109051;GRANERO EL ARCA DE LA BENDICION                                  ;CL 2  4  14O                                                                                                                       ;MI;CONTRERAS DIAZ ALEXANDER                                  ;             
